,sessionId,timestamp,date,group,day,level,PlayerX,PlayerY
0,knwl8dj88fw72bx0no1q,2022-01-11 17:03:58.506,2022-11-01 17:03:58.000,1,1,1.0,643.0,307.0
1,knwl8dj88fw72bx0no1q,2022-01-11 17:04:00.959,2022-11-01 17:04:00.000,1,1,1.0,609.0,249.0
2,knwl8dj88fw72bx0no1q,2022-01-11 17:04:01.553,2022-11-01 17:04:01.000,1,1,1.0,609.0,249.0
3,knwl8dj88fw72bx0no1q,2022-01-11 17:04:01.880,2022-11-01 17:04:01.000,1,1,1.0,609.0,249.0
4,knwl8dj88fw72bx0no1q,2022-01-11 17:04:02.070,2022-11-01 17:04:02.000,1,1,1.0,609.0,249.0
5,knwl8dj88fw72bx0no1q,2022-01-11 17:04:02.338,2022-11-01 17:04:02.000,1,1,1.0,609.0,249.0
6,knwl8dj88fw72bx0no1q,2022-01-11 17:04:02.487,2022-11-01 17:04:02.000,1,1,1.0,609.0,249.0
7,knwl8dj88fw72bx0no1q,2022-01-11 17:04:09.462,2022-11-01 17:04:09.000,1,1,3.0,1411.0,590.0
8,knwl8dj88fw72bx0no1q,2022-01-11 17:04:21.998,2022-11-01 17:04:21.000,1,1,4.0,1319.0,1713.0
9,knwl8dj88fw72bx0no1q,2022-01-11 17:04:25.814,2022-11-01 17:04:25.000,1,1,1.0,1713.0,1761.0
10,knwl8dj88fw72bx0no1q,2022-01-11 17:04:32.301,2022-11-01 17:04:32.000,1,1,1.0,1771.0,2030.0
11,knwl8dj88fw72bx0no1q,2022-01-11 17:04:32.724,2022-11-01 17:04:32.000,1,1,1.0,1703.0,2063.0
12,knwl8dj88fw72bx0no1q,2022-01-11 17:04:36.996,2022-11-01 17:04:36.000,1,1,1.0,1118.0,2606.0
13,knwl8dj88fw72bx0no1q,2022-01-11 17:04:38.435,2022-11-01 17:04:38.000,1,1,1.0,820.0,2688.0
14,knwl8dj88fw72bx0no1q,2022-01-11 17:04:38.857,2022-11-01 17:04:38.000,1,1,1.0,729.0,2712.0
15,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:10.705,2022-11-01 11:05:10.000,2,1,1.0,2822.0,1103.0
